id	tipo	fuente	x0	y0	x1	y1	rotacion_lectura	espejo_lectura	literal	valor	unidad_visible	unidad_propuesta	confianza_lectura	ubicacion	t08_ids	uso	nota
T09-D01	cota	p20_planta	437	87	477	126	0	false	ø 150	150		cm	alta	Giro junto a dormitorio 3	CL-C02;CL-L02	control_secundario	Diámetro de reserva de maniobra; no ancho del dormitorio. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D02	cota	p20_planta	339	433	375	474	0	false	ø 150	150		cm	alta	Giro dormitorio 1	CL-C01;CL-L03	control_secundario	Diámetro de reserva de maniobra; no dimensión de la cama. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D03	cota	p20_planta	901	342	944	383	0	false	ø 150	150		cm	alta	Giro baño	CL-C03;CL-L04	control_secundario	Diámetro superpuesto al achurado; no límite de recinto. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D04	cota	p20_planta	1296	290	1342	337	0	false	ø 150	150		cm	alta	Giro estar	CL-C04;CL-L05	control_secundario	Diámetro de reserva de maniobra junto al sofá. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D05	cota	p20_planta	902	237	922	253	0	false	90	90		cm	alta	Baño, cadena superior izquierda	CL-C05	candidato_T10	Primer tramo horizontal entre proyecciones; sus extremos se medirán en T10. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D06	cota	p20_planta	979	237	999	253	0	false	40	40		cm	alta	Baño, cadena superior derecha	CL-C05	candidato_T10	Segundo tramo horizontal junto al equipo; no ancho de puerta. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D07	cota	p20_planta	930	323	956	344	0	false	120	120		cm	alta	Baño, achurado central	CL-C05;CL-T01	candidato_T10	Rótulo horizontal de la zona achurada; no espesor ni longitud de tabique. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D08	cota	p20_planta	939	353	965	386	270	false	80	80		cm	media	Baño, achurado central, sentido perpendicular	CL-C05;CL-T01	lectura_por_confirmar	Cifra girada sobre trama; lectura probable 80. No usar sola para calibrar. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D09	cota	p20_planta	873	464	894	483	0	false	80	80		cm	alta	Baño, tramo junto al inodoro	CL-C05	candidato_T10	Dimensión horizontal de la reserva contigua al sanitario, no ancho total del baño. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D10	cota	p20_planta	961	464	982	483	0	false	70	70		cm	alta	Baño, tramo sobre la proyección del inodoro	CL-C05	candidato_T10	Tramo horizontal contiguo al anterior; no tratar como ancho de puerta. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D11	cota	p20_planta	925	603	953	636	270	false	90	90		cm	media	Baño, achurado previo a ducha	CL-C05;CL-T02	lectura_por_confirmar	Cifra girada sobre trama; lectura probable 90. No define un escalón. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D12	cota	p20_planta	1107	629	1144	648	0	false	137.5	137.5		cm	alta	Logia, cota horizontal superior	CL-C06	candidato_T10	Conservar el punto decimal literal; no igualar automáticamente al ancho libre de puerta. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D13	cota	p20_planta	1135	649	1158	670	0	false	90	90		cm	alta	Logia, cota horizontal inferior	CL-C06	candidato_T10	Tramo horizontal superpuesto al acceso; soporte y extremos exactos pendientes. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-D14	cota	p20_planta	1150	629	1169	654	270	false	50	50		cm	alta	Logia, cota vertical	CL-C06	candidato_T10	Control vertical complementario; distinguirlo del arco de puerta. La unidad cm se propone por contexto; no está impresa junto a esta cifra.
T09-E01	espesor	p20_planta	211	3	255	19	0	false	M.H.A. 15cm	15	cm		alta	Borde superior izquierdo	CL-M01	espesor_documentado	El 15 cm está impreso en este paño. No extenderlo a tabiques con otro código ni añadir acabados sin evidencia.
T09-E02	espesor	p20_planta	1247	3	1295	19	0	false	M.H.A. 15cm	15	cm		alta	Borde superior derecho	CL-M01	espesor_documentado	El 15 cm está impreso en este paño. No extenderlo a tabiques con otro código ni añadir acabados sin evidencia.
T09-E03	espesor	p20_planta	4	29	20	75	270	false	M.H.A. 15cm	15	cm		alta	Borde izquierdo, paño superior D3	CL-M02	espesor_documentado	El 15 cm está impreso en este paño. No extenderlo a tabiques con otro código ni añadir acabados sin evidencia.
T09-E04	espesor	p20_planta	4	324	20	374	270	false	M.H.A. 15cm	15	cm		alta	Borde izquierdo, paño D1	CL-M03	espesor_documentado	El 15 cm está impreso en este paño. No extenderlo a tabiques con otro código ni añadir acabados sin evidencia.
T09-E05	espesor	p20_planta	1515	583	1533	630	270	false	M.H.A. 15cm	15	cm		alta	Borde derecho exterior	CL-M04	espesor_documentado	El 15 cm está impreso en este paño. No extenderlo a tabiques con otro código ni añadir acabados sin evidencia.
T09-E06	espesor	p20_planta	482	492	501	540	270	false	M.H.A. 15cm	15	cm		alta	Paño inferior entre D1 y D2	CL-M10	espesor_documentado	El 15 cm está impreso en este paño. No extenderlo a tabiques con otro código ni añadir acabados sin evidencia.
T09-E07	espesor	p20_planta	817	518	834	565	270	false	M.H.A. 15cm	15	cm		alta	Retorno exterior izquierdo del baño	CL-M07	espesor_documentado	El 15 cm está impreso en este paño. No extenderlo a tabiques con otro código ni añadir acabados sin evidencia.
T09-E08	espesor	p20_planta	1192	433	1210	481	270	false	M.H.A. 15cm	15	cm		alta	Paño corto cocina-estar	CL-M18	espesor_documentado	El 15 cm está impreso en este paño. No extenderlo a tabiques con otro código ni añadir acabados sin evidencia.
