id	rol	eje	referencia_T09	nominal_m	longitud_px	convertida_m	residuo_mm	dentro_10mm	grupo
CAL-FH01	fit	u	T09-D05	0.9	106.536763	0.901232	1.232	True	bano_cadena_superior
CAL-FH02	fit	u	T09-D12	1.375	162.471103	1.374400	-0.600	True	logia_cadena_superior
CAL-FV01	fit	v	T09-D14	0.5	59.038852	0.499430	-0.570	True	logia_cadena_vertical
CAL-CH01	check_shared	u	T09-D06	0.4	47.339698	0.400463	0.463	True	bano_cadena_superior
CAL-CH02	check	u	T09-D09	0.8	94.857202	0.802430	2.430	True	bano_inodoro
CAL-CH03	check	u	T09-D10	0.7	82.693927	0.699537	-0.463	True	bano_inodoro
CAL-CH04	check	u	T09-D13	0.9	106.833837	0.903745	3.745	True	logia_cadena_inferior
CAL-CE03	check	u	T09-E03	0.15	17.673185	0.149504	-0.496	True	muro_izquierdo
CAL-CE04	check	u	T09-E04	0.15	17.659740	0.149390	-0.610	True	muro_izquierdo
CAL-CE05	check	u	T09-E05	0.15	17.339368	0.146680	-3.320	True	muro_derecho
CAL-CE06	check	u	T09-E06	0.15	17.672727	0.149500	-0.500	True	muro_D1_D2
CAL-CE07	check	u	T09-E07	0.15	17.512899	0.148148	-1.852	True	muro_bano_exterior
CAL-CE08	check	u	T09-E08	0.15	17.189723	0.145414	-4.586	True	muro_cocina_estar
CAL-CG01-U	check_circle	u	T09-D01	1.5	177.210616	1.499086	-0.914	True	CAL-CG01
CAL-CG01-V	check_circle	v	T09-D01	1.5	177.240321	1.499337	-0.663	True	CAL-CG01
CAL-CG02-U	check_circle	u	T09-D02	1.5	176.892426	1.496395	-3.605	True	CAL-CG02
CAL-CG02-V	check_circle	v	T09-D02	1.5	176.906461	1.496513	-3.487	True	CAL-CG02
CAL-CG03-U	check_circle	u	T09-D03	1.5	177.779995	1.503903	3.903	True	CAL-CG03
CAL-CG03-V	check_circle	v	T09-D03	1.5	176.930308	1.496715	-3.285	True	CAL-CG03
CAL-CG04-U	check_circle	u	T09-D04	1.5	177.074608	1.497936	-2.064	True	CAL-CG04
CAL-CG04-V	check_circle	v	T09-D04	1.5	177.026934	1.497532	-2.468	True	CAL-CG04
