coordenada	trazado_px	leido_px	residuo_px	residuo_m	roi
D12_L	480.04306220095697	479.955	0.08806220095698336	0.0007449487668404097	[477, 330, 483, 380]
D12_THIN_R	487.3	487.2232142857143	0.07678571428573377	0.0006495570465705163	[484, 330, 491, 380]
BATH_L	817.2154471544716	817.0	0.21544715447157614	0.0018225423654954472	[814, 280, 820, 315]
BATH_THIN_R	824.3	823.9379823594267	0.3620176405732991	0.003062433052874631	[821, 280, 828, 315]
NICHE_RI	352.3	352.26550387596905	0.0344961240309658	0.00029181470345255944	[349, 160, 355, 183]
NICHE_RX	359.5	359.2829073718422	0.2170926281577863	0.0018364619993461772	[357, 160, 363, 183]
NICHE_T	131.1	130.99884643114635	0.1011535688536469	0.0008556931982183795	[300, 128, 335, 134]
NICHE_B	138.2	137.75712799167533	0.442872008324656	0.0037464082533066145	[300, 136, 335, 140]
D3_STEP_L	227.3	227.16659038901602	0.13340961098398907	0.0011285582702586347	[224, 215, 230, 245]
D3_STEP_R	234.3	233.88684874913932	0.41315125086069315	0.003494990035481725	[232, 215, 236, 245]
D3_LOW_T	268.1	268.0	0.10000000000002274	0.0008459347583243709	[150, 265, 180, 271]
D3_LOW_B	275.1	275.1319749216301	-0.031974921630080644	-0.00027048697601576816	[150, 272, 180, 278]
D2_HEAD_T	148.4	148.2987012987013	0.10129870129870255	0.000856920924016711	[580, 145, 630, 152]
D2_HEAD_B	155.6	155.55769905296387	0.04230094703612508	0.00035783841407888346	[580, 153, 630, 159]
D2_STEP_L	551.1	551.1358711566618	-0.035871156661755776	-0.0003034465824147112	[548, 167, 554, 183]
D2_STEP_R	558.1	557.8278162689248	0.272183731075188	0.0023024967876686237	[555, 167, 561, 183]
D3_HEAD_T	197.2	196.84259259259258	0.3574074074074076	0.0030234334880845657	[500, 194, 530, 201]
D3_HEAD_B	204.3	203.66666666666666	0.6333333333333542	0.005357586802719974	[500, 201, 530, 207]
BATH_RI	1012.3	1012.2720283855706	0.02797161442936158	0.00023662160892239093	[1009, 350, 1016, 380]
BATH_RX	1019.1	1019.2396994667961	-0.13969946679605982	-0.0011817663468214148	[1017, 350, 1022, 380]
KITCHEN_NICHE_B	160.1	160.15740740740742	-0.05740740740742467	-0.00048562921311217445	[1060, 158, 1080, 163]
SINK_T	534.2	533.9148255813953	0.28517441860469717	0.0024123895288260264	[1040, 532, 1060, 537]
SINK_B	541.2	541.0	0.20000000000004547	0.0016918695166487417	[1040, 539, 1060, 544]
LOGIA_HEAD_T	600.3	600.2857142857142	0.014285714285733775	0.00012084782261790465	[1060, 597, 1080, 604]
LOGIA_HEAD_B	610.2	609.9219858156029	0.2780141843971933	0.002351818618887333	[1060, 608, 1080, 613]
SOUTH_I	780.2	780.1216131064903	0.07838689350978711	0.0006631019781698489	[981, 777, 989, 783]
SOUTH_X	795	794.9126213592233	0.08737864077670565	0.000739166293681377	[981, 792, 989, 799]
