id	anillo	u_px	v_px	X_m	Y_m	tipo	panos
C001	1	4.634	1	-0.14937930570828392	5.328649811148644	convexo	W01A
C002	1	1530.5707762557079	1	12.7590502746902	5.328649811148644	convexo	W01C
C003	1	1530.5707762557079	18.4	12.7590502746902	5.181457163200236	convexo	W01C
C004	1	22.292490118577074	18.4	0.0	5.181457163200236	entrante	W01A,W02
C005	1	22.292490118577074	127.5	0.0	4.258542341868558	convexo	W02
C006	1	4.634	127.5	-0.14937930570828392	4.258542341868558	convexo	W02
C007	2	4.634	246.5	-0.14937930570828392	3.2518799794627853	convexo	W03
C008	2	22.292490118577074	246.5	0.0	3.2518799794627853	convexo	W03
C009	2	22.292490118577074	268.1	0.0	3.0691580716647624	entrante	W03,W12A
C010	2	227.3	268.1	1.7342297832618316	3.0691580716647624	entrante	W12A,W12B
C011	2	227.3	197.2	1.7342297832618316	3.668925815316605	convexo	W12B
C012	2	352.3	197.2	2.7916482311670547	3.668925815316605	entrante	W12C,W13B
C013	2	352.3	138.2	2.7916482311670547	4.168027322727871	entrante	W13A,W13B
C014	2	281.5	138.2	2.1927264222735365	4.168027322727871	convexo	W13A
C015	2	281.5	131.1	2.1927264222735365	4.228088690568887	convexo	W13A
C016	2	352.3	131.1	2.7916482311670547	4.228088690568887	entrante	W13A,W13B
C017	2	352.3	123.5	2.7916482311670547	4.292379732201525	convexo	W13B
C018	2	359.5	123.5	2.8525555337663957	4.292379732201525	convexo	W13B
C019	2	359.5	197.2	2.8525555337663957	3.668925815316605	entrante	W12C,W13B
C020	2	375.5	197.2	2.987905095098264	3.668925815316605	convexo	W12C
C021	2	375.5	204.3	2.987905095098264	3.608864447475588	convexo	W12C
C022	2	234.3	204.3	1.7934452163445243	3.608864447475588	entrante	W12B,W12C
C023	2	234.3	275.1	1.7934452163445243	3.00994263858207	convexo	W12B
C024	2	22.292490118577074	275.1	0.0	3.00994263858207	entrante	W03,W12A
C025	2	22.292490118577074	630.9126213592233	0.0	0.0	entrante	W03,W05A
C026	2	318.5	630.9126213592233	2.5057222828534824	0.0	convexo	W05A
C027	2	318.5	645	2.5057222828534824	-0.11917003245906638	convexo	W05A
C028	2	4.634	645	-0.14937930570828392	-0.11917003245906638	convexo	W03
C029	3	436.5	630.9126213592233	3.503925297676013	0.0	convexo	W05B
C030	3	480.04306220095697	630.9126213592233	3.8722711956726252	0.0	entrante	W05B,W10B
C031	3	480.04306220095697	197.2	3.8722711956726252	3.668925815316605	convexo	W14A
C032	3	551.1	197.2	4.473366530715522	3.668925815316605	entrante	W14A,W14B
C033	3	551.1	148.4	4.473366530715522	4.081741977378805	convexo	W14B
C034	3	713.1	148.4	5.843780839200691	4.081741977378805	convexo	W14C
C035	3	713.1	155.6	5.843780839200691	4.020834674779463	convexo	W14C
C036	3	558.1	155.6	4.532581963798214	4.020834674779463	entrante	W14B,W14C
C037	3	558.1	204.3	4.532581963798214	3.608864447475588	convexo	W14B
C038	3	487.3	204.3	3.933660154904696	3.608864447475588	entrante	W10A,W14A
C039	3	487.3	397.5	3.933660154904696	1.9745184943932754	entrante	W10A,W10B
C040	3	497.7157894736842	397.5	4.021770938416461	1.9745184943932754	convexo	W10B
C041	3	497.7157894736842	630.9126213592233	4.021770938416461	0.0	entrante	W06A,W10B
C042	3	595.5	630.9126213592233	4.848961563411456	0.0	convexo	W06A
C043	3	595.5	645	4.848961563411456	-0.11917003245906638	convexo	W06A
C044	3	436.5	645	3.503925297676013	-0.11917003245906638	convexo	W05B
C045	4	713.5	630.9126213592233	5.847164578233987	0.0	convexo	W06B
C046	4	817.2154471544716	630.9126213592233	6.7245295954650075	0.0	entrante	W06B,W07
C047	4	817.2154471544716	148.4	6.7245295954650075	4.081741977378805	convexo	W11
C048	4	824.3	148.4	6.784460290457177	4.081741977378805	convexo	W11
C049	4	824.3	397.5	6.784460290457177	1.9745184943932754	entrante	W07,W11
C050	4	834.7283464566929	397.5	6.8726772978528095	1.9745184943932754	convexo	W07
C051	4	834.7283464566929	780.2	6.8726772978528095	-1.262873825713356	entrante	W07,W08A
C052	4	877	780.2	7.230267908094019	-1.262873825713356	convexo	W08A
C053	4	877	795	7.230267908094019	-1.3880721699453342	convexo	W08A
C054	4	817.2154471544716	795	6.7245295954650075	-1.3880721699453342	convexo	W07
C055	4	817.2154471544716	645	6.7245295954650075	-0.11917003245906638	entrante	W06B,W07
C056	4	713.5	645	5.847164578233987	-0.11917003245906638	convexo	W06B
C057	5	930.2	148.4	7.680305199522483	4.081741977378805	convexo	W15
C058	5	1096.4	148.4	9.086248767857269	4.081741977378805	convexo	W17A
C059	5	1096.4	160.1	9.086248767857269	3.982767610654875	convexo	W17A
C060	5	1019.1	160.1	8.432341199672678	3.982767610654875	entrante	W16A,W17A
C061	5	1019.1	251.2	8.432341199672678	3.212121045821549	entrante	W16A,W17B
C062	5	1096.4	251.2	9.086248767857269	3.212121045821549	convexo	W17B
C063	5	1096.4	258.1	9.086248767857269	3.1537515474971802	convexo	W17B
C064	5	1019.1	258.1	8.432341199672678	3.1537515474971802	entrante	W16A,W17B
C065	5	1019.1	534.2	8.432341199672678	0.8181256797641231	entrante	W16A,W19A
C066	5	1079.7	534.2	8.94497766321713	0.8181256797641231	convexo	W19A
C067	5	1079.7	541.2	8.94497766321713	0.7589102466814306	convexo	W19A
C068	5	1007.5	541.2	8.334212767707072	0.7589102466814306	entrante	W16B,W19A
C069	5	1007.5	600.3	8.334212767707072	0.25896280451184184	entrante	W16B,W19B
C070	5	1092.5	600.3	9.053257312282625	0.25896280451184184	convexo	W19C
C071	5	1092.5	610.2	9.053257312282625	0.17521526343774738	convexo	W19C
C072	5	1044.1	610.2	8.64382488925372	0.17521526343774738	entrante	W19B,W19C,W20B
C073	5	1044.1	795	8.64382488925372	-1.3880721699453342	convexo	W08B
C074	5	947.5	795	7.826651912712565	-1.3880721699453342	convexo	W08B
C075	5	947.5	780.2	7.826651912712565	-1.262873825713356	convexo	W08B
C076	5	1000.5	780.2	8.274997334624379	-1.262873825713356	entrante	W08B,W20A
C077	5	1000.5	534.2	8.274997334624379	0.8181256797641231	convexo	W19A
C078	5	1012.3	534.2	8.374817636106632	0.8181256797641231	entrante	W16A,W19A
C079	5	1012.3	155.6	8.374817636106632	4.020834674779463	entrante	W15,W16A
C080	5	930.2	155.6	7.680305199522483	4.020834674779463	convexo	W15
C081	6	1007.5	610.2	8.334212767707072	0.17521526343774738	entrante	W19B,W20A
C082	6	1007.5	780.2	8.334212767707072	-1.262873825713356	entrante	W08B,W20A
C083	6	1035.5	780.2	8.571074500037842	-1.262873825713356	entrante	W08B,W20B
C084	6	1035.5	610.2	8.571074500037842	0.17521526343774738	entrante	W19B,W20B
C085	7	1175	780.2	9.751153487900073	-1.262873825713356	convexo	W09A
C086	7	1206.8	780.2	10.02016074104716	-1.262873825713356	entrante	W09A,W18D
C087	7	1206.8	610.2	10.02016074104716	0.17521526343774738	entrante	W18C,W18D
C088	7	1193	610.2	9.903421744398424	0.17521526343774738	convexo	W18C
C089	7	1193	600.3	9.903421744398424	0.25896280451184184	convexo	W18C
C090	7	1201.5	600.3	9.97532619885598	0.25896280451184184	entrante	W18B,W18C
C091	7	1201.5	515.5	9.97532619885598	0.9763154795707448	entrante	W18A,W18B
C092	7	1191	515.5	9.88650304923194	0.9763154795707448	convexo	W18A
C093	7	1191	397.5	9.88650304923194	1.9745184943932754	convexo	W18A
C094	7	1208.189723320158	397.5	10.031916893656915	1.9745184943932754	convexo	W18A
C095	7	1208.189723320158	600.3	10.031916893656915	0.25896280451184184	entrante	W18B,W18C
C096	7	1214	600.3	10.081068043646502	0.25896280451184184	convexo	W18C
C097	7	1214	780.2	10.081068043646502	-1.262873825713356	entrante	W09A,W18D
C098	7	1253	780.2	10.41098259939293	-1.262873825713356	convexo	W09A
C099	7	1253	795	10.41098259939293	-1.3880721699453342	convexo	W09A
C100	7	1175	795	9.751153487900073	-1.3880721699453342	convexo	W09A
C101	8	1477	780.2	12.30587645803909	-1.262873825713356	convexo	W09B
C102	8	1513.2314086722085	780.2	12.612370537427784	-1.262873825713356	entrante	W04,W09B
C103	8	1513.2314086722085	141.5	12.612370537427784	4.140111475703173	convexo	W04
C104	8	1530.5707762557079	141.5	12.7590502746902	4.140111475703173	convexo	W04
C105	8	1530.5707762557079	795	12.7590502746902	-1.3880721699453342	convexo	W04
C106	8	1477	795	12.30587645803909	-1.3880721699453342	convexo	W09B
